C,H,O,N,F,S,System_Size,a,b,c,density,PLD,LCD,N2_SA,Probe_Accessible,Probe_Occupiable,Rosenbluth_Weight,Sample_Index
0.0591027,0.00278283,-0.003572825,0.070697725,0.090106962,-0.007847245,-0.012071563,0.111779749,0.066960817,0.107476868,2.281455466,0.072141711,-0.050133473,0.119921363,0.085488059,-0.082354612,-0.252540276,48
0.060918352,0.00278283,-0.001347881,0.070345135,0.090637844,-0.005613347,-0.002315271,0.249400364,0.192536159,0.181844333,2.365589568,0.146266823,0.270864653,0.144521879,0.226353838,0.123204891,-0.522259594,49
0.057531834,0.00278283,-0.003046249,0.078751806,0.089373801,0.011355156,-0.013565964,0.249460578,0.120574946,0.136476694,1.830787968,0.035036821,0.009547214,0.008388978,0.152623187,-0.087051771,0.211021053,50
0.060742078,0.002915639,-0.003046249,0.08551355,0.100482295,0.020411865,-0.01153974,0.238837176,0.155188531,0.134467081,1.328135199,0.121959362,-0.031238905,0.074529673,0.225864523,0.112115563,0.368016116,51
0.05962014,0.002915639,-0.003572825,0.077805641,0.091637401,0.013407733,-0.01140109,0.218066488,0.120055038,0.134438362,1.66686555,0.056176599,-0.007232764,-0.009764887,0.152918501,-0.082161739,0.216686323,52
0.058744771,0.00278283,-0.003572825,0.077268521,0.09007052,0.013407733,-0.014356972,0.268478625,0.176910756,0.138093391,2.110395273,0.05029445,-0.024134967,0.016335683,0.189254881,-0.032704607,0.211412297,53
0.058393372,0.002915639,-0.004233223,0.077268521,0.085390665,0.021631406,-0.013233442,0.277377117,0.191379808,0.127786929,2.15490781,-0.075501464,0.048231069,0.055411627,0.190383981,-0.016088582,0.219281036,54
0.059497762,0.002969698,0.00547382,-0.087339036,0.104613429,0.013407733,-0.014318003,0.213568562,0.076976005,0.06067832,-0.76123136,0.078486091,0.048100757,0.002414519,0.181170358,-0.103531075,0.024338069,55
0.056605342,0.00319156,0.007334941,-0.078597194,0.090575611,0.008949125,0.017084095,-0.005629964,0.012048044,0.041840444,-1.122430486,0.086776153,0.051807546,-0.056415448,-0.049838175,0.096560675,0.219709092,56
0.06461824,0.00259401,0.012629678,-0.097779245,0.087037427,0.029391301,-0.002606137,0.006801573,0.001649837,0.033211559,-1.215980119,-0.111243159,0.082147114,-0.045914484,-0.250921185,0.005818382,0.230856487,57
0.069716123,0.003075291,0.007334941,-0.086891559,0.090645049,0.03038914,-0.001978218,0.059710816,-0.015421996,0.015478852,-1.059675323,-0.070181873,0.014815571,-0.048736221,-0.084841487,0.08443427,0.171525073,58
0.06065731,0.002799094,0.012658107,-0.097779245,0.087654565,0.03038914,-0.002606137,-0.025926476,-0.053855086,-0.045201607,-1.165809314,-0.044644476,0.103908128,-0.044697411,-0.204095524,0.057823862,0.229699214,59
-0.03447608,0.002027139,0.015908365,0.074700025,0.097382289,0.011355156,-0.032558737,0.192015262,0.133644821,0.120614761,-1.642770886,0.092538528,0.387855426,-0.055808604,-0.044490932,0.017604806,0.124511728,60
-0.056285496,0.002477742,0.026271482,0.07462519,0.082982563,0.02238717,-0.017146997,0.126075647,0.088670535,0.020319234,-1.820172026,-0.046167715,0.089252567,-0.044226136,-0.586503413,0.109122443,0.034748404,61
-0.033266329,0.002027139,0.019931856,0.075712206,0.102017166,0.011355156,-0.021897305,0.223352835,0.16087567,0.129150368,-1.58528707,0.12897992,0.532453906,0.013993489,0.251984482,0.134461106,0.249351334,62
-0.027133749,0.002027139,0.015908365,0.075712206,0.100118637,0.011355156,-0.02639362,0.19475768,0.158442701,0.136400956,-1.607989549,0.14864382,0.412663367,-0.049628572,0.155516216,0.041194185,0.335307184,63
-0.025231624,0.001940566,0.026513599,0.07462519,0.086661911,0.02238717,-0.031569864,0.185534395,0.164407336,0.106514214,-1.781835748,-0.029824672,0.053298992,-0.041336643,-0.531598099,0.062819891,0.022105528,64
0.065755193,0.002867959,0.003626965,-0.094614116,0.108241259,0.03038914,-0.019737033,-0.098291173,-0.064256335,-0.040449625,-0.13418811,-0.132739313,0.017034843,-0.050705037,0.071665247,0.036304805,0.111930705,65
0.065755193,0.002867959,0.01484524,-0.093264542,0.108241259,0.03038914,-0.015898839,-0.099810218,-0.061610134,-0.033361974,-0.140301272,-0.005420055,0.048164052,-0.050340094,0.047924618,0.038476927,0.130659116,66
0.06260328,0.002867959,-0.000269698,-0.092736182,0.114206762,0.020411865,-0.036216497,-0.100980968,-0.089660756,-0.090118504,0.685671442,0.060716356,-0.126091322,-0.012258473,0.118526346,-0.128298939,0.15161054,67
0.065755193,0.002644294,0.001463421,-0.08812363,0.097872955,0.029391301,-0.017138337,-0.094844441,-0.065107608,-0.040889175,-0.182022452,-0.10039479,0.084044035,-0.048807346,-0.238313193,0.062541128,0.199511837,68
0.056009467,0.002950186,0.01484524,-0.077742652,0.095683238,0.029391301,-0.016326314,-0.083520226,-0.05136578,-0.029464964,-0.206685324,0.015351504,-0.085969644,-0.05586123,-0.222718032,0.07975865,0.225172805,69
-0.082004764,0.002028451,-0.023375915,0.062843398,0.075585034,0.009463068,-0.023451425,0.108584473,0.063944267,0.062288075,-1.951895544,0.051716081,-0.618361692,-0.051516252,-0.668876397,0.022315675,-0.04223367,70
-0.050161599,0.002681895,-0.013349027,0.077585907,0.080792846,0.029391301,-0.005104445,-0.014972106,-0.047380022,-0.031025993,-1.650876273,-0.029273083,-0.068138334,-0.043647211,-0.562000755,0.125937754,0.303885087,71
-0.054501107,0.002565627,-0.023375915,0.075825354,0.079960857,0.029391301,-0.030420111,0.114343018,-0.00528125,0.019957538,-1.809853524,-0.050712345,-0.037413671,-0.041998687,-0.599195595,0.093289168,0.026897923,72
-0.046494757,0.001722559,-0.037430612,0.066219612,0.087259734,0.02238717,-0.005503602,0.164203925,0.163022417,0.081639466,-1.676212323,-0.131934448,0.010970111,-0.054255343,-0.653616462,0.067783451,0.202605324,73
-0.038690438,0.001722559,-0.016767978,0.070324952,0.087286968,0.02238717,-0.00572192,0.204320362,0.16570813,0.09922567,-1.563000598,0.039647633,0.095264488,-0.038263076,-0.550492645,0.144063389,0.307281421,74
